"entry","protein_families"
"Q92993","MYST (SAS/MOZ) family"
"Q92994","TFIIB family"
"Q92995","Peptidase C19 family"
"Q92997","DSH family"
"Q93008","Peptidase C19 family"
"Q93009","Peptidase C19 family"
"Q93015","Acetyltransferase family"
"Q93034","Cullin family"
"Q93045","Stathmin family"
"Q93050","V-ATPase 116 kDa subunit family"
"Q93052","Zyxin/ajuba family"
"Q93063","Glycosyltransferase 47 family"
"Q93070","Arg-specific ADP-ribosyltransferase family"
"Q93074","Mediator complex subunit 12 family"
"Q93077","Histone H2A family"
"Q93079","Histone H2B family"
"Q93084","Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIA subfamily"
"Q93086","P2X receptor family"
"Q93091","Pancreatic ribonuclease family"
"Q93096","Protein-tyrosine phosphatase family"
"Q93097","Wnt family"
"Q93098","Wnt family"
"Q93099","Homogentisate dioxygenase family"
"Q93100","Phosphorylase b kinase regulatory chain family"
"Q95460","MHC class I family"
"Q969E2","SCAMP family"
"Q969E3","Sauvagine/corticotropin-releasing factor/urotensin I family"
"Q969E8","TSR2 family"
"Q969F1","TFIIIC subunit 6 family"
"Q969F2","NKD family"
"Q969F8","G-protein coupled receptor 1 family"
"Q969G5","CAVIN family"
"Q969G9","NKD family"
"Q969H4","CNKSR family"
"Q969H6","Eukaryotic/archaeal RNase P protein component 2 family"
"Q969H8","MYDGF family"
"Q969I6","Amino acid/polyamine transporter 2 family"
"Q969J2","Krueppel C2H2-type zinc-finger protein family"
"Q969J3","BORCS5 family"
"Q969J5","Type II cytokine receptor family"
"Q969K7","TMEM54 family"
"Q969L2","MAL family"
"Q969L4","SnRNP Sm proteins family"
"Q969M3","YIP1 family"
"Q969M7","Ubiquitin-conjugating enzyme family, UBE2F subfamily"
"Q969N2","PIGT family"
"Q969P6","Type IB topoisomerase family"
"Q969Q5","Small GTPase superfamily, Rab family"
"Q969R2","OSBP family"
"Q969S0","Nucleotide-sugar transporter family, SLC35B subfamily"
"Q969S2","FPG family"
"Q969S3","REI1 family"
"Q969S8","Histone deacetylase family, HD type 2 subfamily"
"Q969S9","TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-G/EF-2 subfamily"
"Q969T4","Ubiquitin-conjugating enzyme family"
"Q969T7","Pyrimidine 5'-nucleotidase family"
"Q969U6","FBXW5 family"
"Q969U7","PSMG2 family"
"Q969V3","Nicastrin family"
"Q969V4","Tektin family"
"Q969W0","SPTSS family, SPTSSA subfamily"
"Q969W1","DHHC palmitoyltransferase family"
"Q969W9","PMEPA1 family"
"Q969X0","RILPL family"
"Q969X1","BI1 family, LFG subfamily"
"Q969X2","Glycosyltransferase 29 family"
"Q969X5","ERGIC family"
"Q969Y2","TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, TrmE GTPase family"
"Q969Z0","FAST kinase family"
"Q969Z4","RELT family"
"Q96A08","Histone H2B family"
"Q96A09","TENT family"
"Q96A11","Galactose-3-O-sulfotransferase family"
"Q96A25","TMEM106 family"
"Q96A26","UPF0389 family"
"Q96A29","TPT transporter family, SLC35C subfamily"
"Q96A33","CCDC47 family"
"Q96A44","SPSB family"
"Q96A54","ADIPOR family"
"Q96A57","TMEM134/TMEM230 family"
"Q96A58","Small GTPase superfamily, Ras family"
"Q96A61","TRIM/RBCC family"
"Q96A65","SEC8 family"
"Q96A70","Orn/Lys/Arg decarboxylase class-II family, ODC antizyme inhibitor subfamily"
"Q96A72","Mago nashi family"
"Q96AA3","RFT1 family"
"Q96AA8","JAKMIP family"
"Q96AC1","Kindlin family"
"Q96AE7","TTC17 family"
"Q96AG3","Mitochondrial carrier (TC 2.A.29) family"
"Q96AH0","SOSS-B family, SOSS-B2 subfamily"
"Q96AH8","Small GTPase superfamily, Rab family"
"Q96AJ1","CLUAP1 family"
"Q96AJ9","VTI1 family"
"Q96AK3","Cytidine and deoxycytidylate deaminase family"
"Q96AP4","Peptidase C78 family, ZUFSP subfamily"
"Q96AQ7","CIDE family"
"Q96AQ8","CCDC90 family"
"Q96AT9","Ribulose-phosphate 3-epimerase family"
"Q96AV8","E2F/DP family"
"Q96AW1","VOPP1/ECOP family"
"Q96AX1","STXBP/unc-18/SEC1 family"
"Q96AX2","Small GTPase superfamily, Rab family"
"Q96AY2","EME1/MMS4 family"
"Q96AZ1","Methyltransferase superfamily, METTL21 family"
"Q96AZ6","Exonuclease superfamily"
"Q96B02","Ubiquitin-conjugating enzyme family"
"Q96B18","Dapper family"
"Q96B21","TMEM45 family"
"Q96B26","RNase PH family"
"Q96B42","TMEM18 family"
"Q96B49","Tom6 family"
"Q96B67","Arrestin family"
"Q96B86","Repulsive guidance molecule (RGM) family"
"Q96B96","LDAF1 family"
"Q96BA8","BZIP family, ATF subfamily"
"Q96BD0","Organo anion transporter (TC 2.A.60) family"
"Q96BD6","SPSB family"
"Q96BD8","SKA1 family"
"Q96BH1","RNF25 family"
"Q96BI1","Major facilitator (TC 2.A.1) superfamily, Organic cation transporter (TC 2.A.1.19) family"
"Q96BI3","APH-1 family"
"Q96BJ3","AIDA family"
"Q96BK5","PINX1 family"
"Q96BM9","Small GTPase superfamily, Arf family"
"Q96BN2","TADA1 family"
"Q96BN8","Peptidase C65 family, Otulin subfamily"
"Q96BP2","Mitochondrion-specific ribosomal protein mS37 family"
"Q96BP3","Cyclophilin-type PPIase family, PPIL1 subfamily"
"Q96BR1","Protein kinase superfamily, AGC Ser/Thr protein kinase family"
"Q96BR5","Hcp beta-lactamase family"
"Q96BR6","Krueppel C2H2-type zinc-finger protein family"
"Q96BS2","Calcineurin regulatory subunit family, CHP subfamily"
"Q96BT3","CENP-T/CNN1 family"
"Q96BT7","AlkB family"
"Q96BW1","UPRTase family"
"Q96BW5","Metallo-dependent hydrolases superfamily, Phosphotriesterase family"
"Q96BW9","TAM41 family"
"Q96BY2","PNMA family"
"Q96BY6","DOCK family"
"Q96BY7","ATG2 family"
"Q96BY9","SARAF family"
"Q96BZ4","Phospholipase D family"
"Q96C03","MID49/MID51 family"
"Q96C10","Helicase family, RLR subfamily"
"Q96C11","FGGY kinase family"
"Q96C23","Aldose epimerase family"
"Q96C36","Pyrroline-5-carboxylate reductase family"
"Q96C45","Protein kinase superfamily, Ser/Thr protein kinase family, APG1/unc-51/ULK1 subfamily"
"Q96C55","Krueppel C2H2-type zinc-finger protein family"
"Q96C74","Ropporin family"
"Q96C86","HIT family"
"Q96C92","ENTR1 family"
"Q96CA5","IAP family"
"Q96CB8","Integrator subunit 12 family"
"Q96CB9","Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family"
"Q96CC6","Peptidase S54 family"
"Q96CD2","HFCD (homooligomeric flavin containing Cys decarboxylase) superfamily"
"Q96CE8","L6 tetraspanin family"
"Q96CF2","SNF7 family"
"Q96CG3","TIFA family"
"Q96CJ1","EAF family"
"Q96CK0","Krueppel C2H2-type zinc-finger protein family"
"Q96CM3","Pseudouridine synthase RluA family"
"Q96CM8","ATP-dependent AMP-binding enzyme family"
"Q96CQ1","Mitochondrial carrier (TC 2.A.29) family"
"Q96CS2","HAUS1 family"
"Q96CT7","CCDC124 family"
"Q96CW1","Adaptor complexes medium subunit family"
"Q96CW5","TUBGCP family"
"Q96D03","DDIT4 family"
"Q96D05","FAM241 family"
"Q96D09","GPRASP family"
"Q96D15","CREC family"
"Q96D21","Small GTPase superfamily, RasD family"
"Q96D31","Orai family"
"Q96D42","Immunoglobulin superfamily, TIM family"
"Q96D46","NMD3 family"
"Q96D53","Protein kinase superfamily, ADCK protein kinase family"
"Q96D96","Voltage-gated proton channel (VPC) (TC 1.A.51) family"
"Q96DA0","Jacalin lectin family"
"Q96DA2","Small GTPase superfamily, Rab family"
"Q96DA6","TIM14 family"
"Q96DB2","Histone deacetylase family"
"Q96DB5","RMDN family"
"Q96DB9","FXYD family"
"Q96DC9","Peptidase C65 family"
"Q96DE0","Nudix hydrolase family, NUDT16 subfamily"
"Q96DE5","APC16 family"
"Q96DF8","ESS2 family"
"Q96DG6","Dienelactone hydrolase family"
"Q96DH6","Musashi family"
"Q96DM3","RMC1 family"
"Q96DN0","Protein disulfide isomerase family"
"Q96DP5","Fmt family"
"Q96DR5","BPI/LBP/Plunc superfamily, Plunc family"
"Q96DT5","Dynein heavy chain family"
"Q96DT6","Peptidase C54 family"
"Q96DU7","Inositol phosphokinase (IPK) family"
"Q96DV4","Phosphatidylethanolamine-binding protein family, Mitochondrion-specific ribosomal protein mL38 subfamily"
"Q96DW6","Mitochondrial carrier (TC 2.A.29) family, SLC25A38 subfamily"
"Q96DX5","Ankyrin SOCS box (ASB) family"
"Q96DX8","TMEM7 family"
"Q96DZ7","L6 tetraspanin family"
"Q96DZ9","Chemokine-like factor family"
"Q96E09","FAM122 family"
"Q96E11","RRF family"
"Q96E14","RMI2 family"
"Q96E17","Small GTPase superfamily, Rab family"
"Q96E22","UPP synthase family"
"Q96E29","MTERF family"
"Q96E52","Peptidase M48 family"
"Q96EA4","Spindly family"
"Q96EB1","ELP4 family"
"Q96EB6","Sirtuin family, Class I subfamily"
"Q96EC8","YIP1 family"
"Q96ED9","Hook family"
"Q96EE3","WD repeat SEC13 family"
"Q96EF0","Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily"
"Q96EG1","Sulfatase family"
"Q96EG3","Krueppel C2H2-type zinc-finger protein family"
"Q96EH3","Iojap/RsfS family"
"Q96EK4","THAP11 family"
"Q96EK5","KIF-binding protein family"
"Q96EK6","Acetyltransferase family, GNA1 subfamily"
"Q96EL1","INKA family"
"Q96EL3","Mitochondrion-specific ribosomal protein mL53 family"
"Q96EM0","Proline racemase family"
"Q96EN8","Class-V pyridoxal-phosphate-dependent aminotransferase family, MOCOS subfamily"
"Q96EP0","RBR family"
"Q96EP1","CHFR family"
"Q96EP9","Bile acid:sodium symporter (BASS) (TC 2.A.28) family"
"Q96EQ0","SGT family"
"Q96ES7","SGF29 family"
"Q96EU6","RRP36 family"
"Q96EU7","Glycosyltransferase 31 family, Beta3-Gal-T subfamily"
"Q96EV8","Dysbindin family"
"Q96EX3","Dynein light intermediate chain family"
"Q96EY4","TMA16 family"
"Q96EY5","MVB12 family"
"Q96EY7","Mitochondrion-specific ribosomal protein mS39 family"
"Q96EY8","Cob(I)alamin adenosyltransferase family"
"Q96F07","CYFIP family"
"Q96F10","Acetyltransferase family"
"Q96F15","TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, AIG1/Toc34/Toc159-like paraseptin GTPase family, IAN subfamily"
"Q96F25","ALG14 family"
"Q96F44","TRIM/RBCC family"
"Q96F45","Elbow/Noc family"
"Q96F81","Dispatched family"
"Q96F85","CNRIP family"
"Q96F86","EDC3 family"
"Q96FA3","Pellino family"
"Q96FC9","DEAD box helicase family, DEAH subfamily, DDX11/CHL1 sub-subfamily"
"Q96FF9","Sororin family"
"Q96FH0","BORCS8 family"
"Q96FI4","FPG family"
"Q96FJ0","Peptidase M67C family"
"Q96FJ2","Dynein light chain family"
"Q96FL8","Multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family"
"Q96FL9","Glycosyltransferase 2 family, GalNAc-T subfamily"
"Q96FM1","PGAP3 family"
"Q96FN4","Copine family"
"Q96FQ6","S-100 family"
"Q96FT7","Amiloride-sensitive sodium channel (TC 1.A.6) family, ASIC4 subfamily"
"Q96FT9","IFT43 family"
"Q96FV3","Tetraspanin (TM4SF) family"
"Q96FV9","THOC1 family"
"Q96FW1","Peptidase C65 family"
"Q96FX2","DPH3 family"
"Q96FX7","Class I-like SAM-binding methyltransferase superfamily, TRM61 family"
"Q96FX8","TMEM47 family"
"Q96FZ2","SOS response-associated peptidase family"
"Q96FZ5","Chemokine-like factor family"
"Q96FZ7","SNF7 family"
"Q96G01","BicD family"
"Q96G03","Phosphohexose mutase family"
"Q96G04","Class I-like SAM-binding methyltransferase superfamily, EEF2KMT family"
"Q96G25","Mediator complex subunit 8 family"
"Q96G28","CFAP36 family"
"Q96G30","MRAP family"
"Q96G46","Dus family, Dus3 subfamily"
"Q96G61","Nudix hydrolase family, DIPP subfamily"
"Q96G74","Peptidase C85 family"
"Q96G79","Nucleotide-sugar transporter family, SLC35A subfamily"
"Q96G91","G-protein coupled receptor 1 family"
"Q96G97","Seipin family"
"Q96GA3","LTV1 family"
"Q96GA7","Serine/threonine dehydratase family"
"Q96GC6","Krueppel C2H2-type zinc-finger protein family"
"Q96GC9","VMP1 family"
"Q96GD0","HAD-like hydrolase superfamily"
"Q96GD3","SCM family"
"Q96GD4","Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily"
"Q96GE6","Calmodulin family"
"Q96GJ1","Class I-like SAM-binding methyltransferase superfamily, RNA M5U methyltransferase family"
"Q96GL9","FAM163 family"
"Q96GM1","PA-phosphatase related phosphoesterase family"
"Q96GM5","SMARCD family"
"Q96GM8","CAF1 family"
"Q96GQ5","RUS1 family"
"Q96GQ7","DEAD box helicase family, DDX27/DRS1 subfamily"
"Q96GR2","ATP-dependent AMP-binding enzyme family, Bubblegum subfamily"
"Q96GR4","DHHC palmitoyltransferase family"
"Q96GS4","BORCS6 family"
"Q96GS6","AB hydrolase superfamily, ABHD17 family"
"Q96GV9","UNC119-binding protein family"
"Q96GW7","Aggrecan/versican proteoglycan family"
"Q96GW9","Class-I aminoacyl-tRNA synthetase family"
"Q96GX1","Tectonic family"
"Q96GX5","Protein kinase superfamily, AGC Ser/Thr protein kinase family"
"Q96GX9","Aldolase class II family, MtnB subfamily"
"Q96GZ6","SLC41A transporter family"
"Q96H15","Immunoglobulin superfamily, TIM family"
"Q96H20","SNF8 family"
"Q96H22","CENP-N/CHL4 family"
"Q96H55","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"Q96H72","ZIP transporter (TC 2.A.5) family"
"Q96H86","Krueppel C2H2-type zinc-finger protein family"
"Q96H96","UbiA prenyltransferase family"
"Q96HA1","POM121 family"
"Q96HA7","Tonsoku family"
"Q96HA8","NTAQ1 family"
"Q96HA9","Peroxin-11 family"
"Q96HD1","CRELD family"
"Q96HD9","AspA/AstE family, Aspartoacylase subfamily"
"Q96HE7","EROs family"
"Q96HF1","Secreted frizzled-related protein (sFRP) family"
"Q96HH6","TMEM19 family"
"Q96HI0","Peptidase C48 family"
"Q96HJ5","MS4A family"
"Q96HN2","Adenosylhomocysteinase family"
"Q96HP0","DOCK family"
"Q96HP8","TMEM176 family"
"Q96HR3","Mediator complex subunit 30 family"
"Q96HR8","NAF1 family"
"Q96HR9","DP1 family"
"Q96HS1","Phosphoglycerate mutase family, BPG-dependent PGAM subfamily"
"Q96HT8","MORF4 family-associated protein family"
"Q96HU1","Small G protein signaling modulator family"
"Q96HU8","Small GTPase superfamily, Di-Ras family"
"Q96HW7","Integrator subunit 4 family"
"Q96HY6","DDRGK1 family"
"Q96HY7","Alpha-ketoglutarate dehydrogenase family"
"Q96I13","AB hydrolase superfamily"
"Q96I15","Class-V pyridoxal-phosphate-dependent aminotransferase family"
"Q96I23","PREY family"
"Q96I59","Class-II aminoacyl-tRNA synthetase family"
"Q96I99","Succinate/malate CoA ligase beta subunit family, GTP-specific subunit beta subfamily"
"Q96IF1","Zyxin/ajuba family"
"Q96IJ6","Transferase hexapeptide repeat family"
"Q96IK1","BOD1 family"
"Q96IL0","COA8 family"
"Q96IP4","TENT family"
"Q96IQ9","Krueppel C2H2-type zinc-finger protein family"
"Q96IR7","4HPPD family"
"Q96IT1","Krueppel C2H2-type zinc-finger protein family"
"Q96IU4","AB hydrolase superfamily, ABHD14 family"
"Q96IV0","Transglutaminase-like superfamily, PNGase family"
"Q96IV6","Sterol desaturase family"
"Q96IW7","Synaptobrevin family"
"Q96IY4","Peptidase M14 family"
"Q96IZ2","AIG1 family"
"Q96IZ6","Methyltransferase superfamily, METL family"
"Q96J01","THOC3 family"
"Q96J65","ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily"
"Q96J66","ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily"
"Q96J84","Immunoglobulin superfamily"
"Q96J87","CELF/BRUNOL family"
"Q96J92","Protein kinase superfamily, Ser/Thr protein kinase family, WNK subfamily"
"Q96J94","Argonaute family, Piwi subfamily"
"Q96JB1","Dynein heavy chain family"
"Q96JB2","COG3 family"
"Q96JB3","Krueppel C2H2-type zinc-finger protein family, Hic subfamily"
"Q96JB5","CDK5RAP3 family"
"Q96JB6","Lysyl oxidase family"
"Q96JB8","MAGUK family"
"Q96JC1","VAM6/VPS39 family"
"Q96JC9","EAF family"
"Q96JD6","Aldo/keto reductase family"
"Q96JE7","SEC16 family"
"Q96JE9","STOP family"
"Q96JF0","Glycosyltransferase 29 family"
"Q96JG6","Syndetin family"
"Q96JG9","Krueppel C2H2-type zinc-finger protein family"
"Q96JH8","RADIL family"
"Q96JJ6","Junctophilin family"
"Q96JJ7","Protein disulfide isomerase family"
"Q96JK9","Mastermind family"
"Q96JL9","Krueppel C2H2-type zinc-finger protein family"
"Q96JP0","Fem-1 family"
"Q96JP2","TRAFAC class myosin-kinesin ATPase superfamily, Myosin family"
"Q96JP5","Krueppel C2H2-type zinc-finger protein family"
"Q96JQ5","MS4A family"
"Q96JW4","SLC41A transporter family"
"Q96JX3","SERAC1 family"
"Q96JY0","Maelstrom family"
"Q96K12","Fatty acyl-CoA reductase family"
"Q96K30","RITA family"
"Q96K58","Krueppel C2H2-type zinc-finger protein family"
"Q96K76","Peptidase C19 family"
"Q96K78","G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily"
"Q96K83","Krueppel C2H2-type zinc-finger protein family"
"Q96KA5","CLPTM1 family"
"Q96KB5","Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase subfamily"
"Q96KG7","MEGF family"
"Q96KG9","Protein kinase superfamily"
"Q96KJ9","Cytochrome c oxidase IV family"
"Q96KK3","Potassium channel family, S (TC 1.A.1.2) subfamily, Kv9.1/KCNS1 sub-subfamily"
"Q96KK4","G-protein coupled receptor 1 family"
"Q96KK5","Histone H2A family"
"Q96KM6","Krueppel C2H2-type zinc-finger protein family"
"Q96KN2","Peptidase M20A family"
"Q96KN3","TALE/MEIS homeobox family"
"Q96KN4","LRATD family"
"Q96KN7","RPGRIP1 family"
"Q96KN8","H-rev107 family"
"Q96KP1","SEC5 family"
"Q96KP4","Peptidase M20A family"
"Q96KQ4","ASPP family"
"Q96KQ7","Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, Suvar3-9 subfamily"
"Q96KR4","Peptidase M8 family"
"Q96KR6","FAM210 family"
"Q96KR7","Phosphatase and actin regulator family"
"Q96KV7","WD repeat WDR90/POC16 family"
"Q96L12","Calreticulin family"
"Q96L21","Universal ribosomal protein uL16 family"
"Q96L33","Small GTPase superfamily, Rho family"
"Q96L34","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily"
"Q96L42","Potassium channel family, H (Eag) (TC 1.A.1.20) subfamily, Kv12.1/KCNH8 sub-subfamily"
"Q96L58","Glycosyltransferase 31 family"
"Q96L73","Class V-like SAM-binding methyltransferase superfamily"
"Q96L91","SNF2/RAD54 helicase family, SWR1 subfamily"
"Q96L92","Sorting nexin family"
"Q96L93","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family"
"Q96L96","Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily"
"Q96LA8","Class I-like SAM-binding methyltransferase superfamily, Protein arginine N-methyltransferase family, PRMT6 subfamily"
"Q96LB1","G-protein coupled receptor 1 family, Mas subfamily"
"Q96LB2","G-protein coupled receptor 1 family, Mas subfamily"
"Q96LB3","IFT74 family"
"Q96LB4","V-ATPase G subunit family"
"Q96LB8","N-acetylmuramoyl-L-alanine amidase 2 family"
"Q96LB9","N-acetylmuramoyl-L-alanine amidase 2 family"
"Q96LC7","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family"
"Q96LC9","Bcl-2 family"
"Q96LD4","TRIM/RBCC family"
"Q96LD8","Peptidase C48 family"
"Q96LI5","CCR4/nocturin family"
"Q96LI6","HSF family"
"Q96LJ7","Short-chain dehydrogenases/reductases (SDR) family"
"Q96LJ8","UBXN10 family"
"Q96LK0","CEP19 family"
"Q96LR5","Ubiquitin-conjugating enzyme family"
"Q96LR9","Apolipoprotein L family"
"Q96LT4","Sphingomyelin synthase family"
"Q96LW4","Eukaryotic-type primase small subunit family"
"Q96LX8","Krueppel C2H2-type zinc-finger protein family"
"Q96LZ3","Calcineurin regulatory subunit family"
"Q96LZ7","RMDN family"
"Q96M11","HYLS1 family"
"Q96M27","PRRC1 family"
"Q96M29","Tektin family"
"Q96M32","Adenylate kinase family"
"Q96M32"," Dpy-30 family"
"Q96M63","ODA1/DCC2 family"
"Q96M86","Dynein heavy chain family"
"Q96M91","CFAP53 family"
"Q96MA6","Adenylate kinase family"
"Q96MB7","HARBI1 family"
"Q96MC2","DRC1 family"
"Q96MD2","KICS2 family"
"Q96MF7","NSE2 family"
"Q96MG8","Methyltransferase superfamily, L-isoaspartyl/D-aspartyl protein methyltransferase family"
"Q96MH2","HEXIM family"
"Q96MH6","Diacylglycerol acyltransferase family"
"Q96MI9","Peptidase M14 family"
"Q96MK3","FAM20 family"
"Q96MM3","Krueppel C2H2-type zinc-finger protein family"
"Q96MM7","Sulfotransferase 6 family"
"Q96MN2","NLRP family"
"Q96MN9","Krueppel C2H2-type zinc-finger protein family"
"Q96MR6","CFAP57 family"
"Q96MS0","Immunoglobulin superfamily, ROBO family"
"Q96MT3","Prickle / espinas / testin family"
"Q96MT7","CFAP44 family"
"Q96MT8","CEP63 family"
"Q96MV1","TLCD4 family"
"Q96MV8","DHHC palmitoyltransferase family"
"Q96MW5","COG8 family"
"Q96MX0","Chemokine-like factor family"
"Q96MX3","Krueppel C2H2-type zinc-finger protein family"
"Q96MY7","FAM161 family"
"Q96N11","Integrator subunit 15 family"
"Q96N16","JAKMIP family"
"Q96N19","GPR137 family"
"Q96N58","Krueppel C2H2-type zinc-finger protein family"
"Q96N66","Membrane-bound acyltransferase family"
"Q96N67","DOCK family"
"Q96N76","Urocanase family"
"Q96N77","Krueppel C2H2-type zinc-finger protein family"
"Q96N87","Sodium:neurotransmitter symporter (SNF) (TC 2.A.22) family, SLC6A18 subfamily"
"Q96N95","Krueppel C2H2-type zinc-finger protein family"
"Q96NB1","CEP43 family"
"Q96NB2","Sideroflexin family"
"Q96NG5","Krueppel C2H2-type zinc-finger protein family"
"Q96NI6","LRFN family"
"Q96NN9","FAD-dependent oxidoreductase family"
"Q96NR3","Patched family"
"Q96NR8","Short-chain dehydrogenases/reductases (SDR) family"
"Q96NT5","Major facilitator superfamily, SLC46A family"
"Q96NW7","LAP (LRR and PDZ) protein family"
"Q96NX5","Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily"
"Q96NY7","Chloride channel CLIC family"
"Q96NY8","Nectin family"
"Q96NY9","XPF family"
"Q96NZ8","WFIKKN family"
"Q96P09","IAP family"
"Q96P11","Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family"
"Q96P15","Serpin family, Ov-serpin subfamily"
"Q96P16","UPF0400 (RTT103) family"
"Q96P20","NLRP family"
"Q96P26","5'-nucleotidase type 3 family"
"Q96P44","Fibril-associated collagens with interrupted helices (FACIT) family"
"Q96P47","Centaurin gamma-like family"
"Q96P56","Cation channel sperm-associated (TC 1.A.1.19) family"
"Q96P63","Serpin family, Ov-serpin subfamily"
"Q96P65","G-protein coupled receptor 1 family"
"Q96P66","G-protein coupled receptor 1 family"
"Q96P68","G-protein coupled receptor 1 family"
"Q96P70","Importin beta family"
"Q96PB1","PC-esterase family, CASD1 subfamily"
"Q96PC2","Inositol phosphokinase (IPK) family"
"Q96PC3","Adaptor complexes small subunit family"
"Q96PC5","MIA/OTOR family"
"Q96PD4","IL-17 family"
"Q96PD5","N-acetylmuramoyl-L-alanine amidase 2 family"
"Q96PD6","Diacylglycerol acyltransferase family"
"Q96PD7","Diacylglycerol acyltransferase family"
"Q96PE1","G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily"
"Q96PE3","Inositol 3,4-bisphosphate 4-phosphatase family"
"Q96PE7","Methylmalonyl-CoA epimerase family"
"Q96PF1","Transglutaminase superfamily, Transglutaminase family"
"Q96PF2","Protein kinase superfamily, CAMK Ser/Thr protein kinase family"
"Q96PH6","Beta-defensin family"
"Q96PL5","Immunoglobulin superfamily, BTN/MOG family"
"Q96PN6","Adenylyl cyclase class-4/guanylyl cyclase family"
"Q96PN8","Protein kinase superfamily, CAMK Ser/Thr protein kinase family"
"Q96PP8","TRAFAC class dynamin-like GTPase superfamily, GB1/RHD3 GTPase family, GB1 subfamily"
"Q96PP9","TRAFAC class dynamin-like GTPase superfamily, GB1/RHD3 GTPase family, GB1 subfamily"
"Q96PQ0","VPS10-related sortilin family, SORCS subfamily"
"Q96PQ1","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin) family"
"Q96PQ6","Krueppel C2H2-type zinc-finger protein family"
"Q96PR1","Potassium channel family, C (Shaw) (TC 1.A.1.2) subfamily, Kv3.2/KCNC2 sub-subfamily"
"Q96PS8","MIP/aquaporin (TC 1.A.8) family"
"Q96PU8","Quaking family"
"Q96PV4","PNMA family"
"Q96PV7","FAM193 family"
"Q96PX8","SLITRK family"
"Q96PY5","Formin homology family"
"Q96PY6","Protein kinase superfamily, NEK Ser/Thr protein kinase family, NIMA subfamily"
"Q96PZ0","Pseudouridine synthase TruD family"
"Q96PZ2","FAM111 family"
"Q96PZ7","CSMD family"
"Q96Q04","Protein kinase superfamily, Tyr protein kinase family"
"Q96Q05","NIBP family"
"Q96Q06","Perilipin family"
"Q96Q11","TRNA nucleotidyltransferase/poly(A) polymerase family"
"Q96Q15","PI3/PI4-kinase family"
"Q96Q27","Ankyrin SOCS box (ASB) family"
"Q96Q40","Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily"
"Q96Q45","TMEM237 family"
"Q96Q80","Derlin family"
"Q96Q83","AlkB family"
"Q96Q89","TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family"
"Q96Q91","Anion exchanger (TC 2.A.31) family"
"Q96QA5","Gasdermin family"
"Q96QD8","Amino acid/polyamine transporter 2 family"
"Q96QD9","UIF family"
"Q96QE2","Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family"
"Q96QE3","AAA ATPase family"
"Q96QE5","TEFM family"
"Q96QF0","SEC2 family"
"Q96QF7","Serine-aspartate repeat-containing protein (SDr) family"
"Q96QG7","Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily"
"Q96QI5","Sulfotransferase 1 family"
"Q96QK1","VPS35 family"
"Q96QP1","Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily"
"Q96QR8","PUR DNA-binding protein family"
"Q96QS3","Paired homeobox family, Bicoid subfamily"
"Q96QS6","Protein kinase superfamily, CAMK Ser/Thr protein kinase family"
"Q96QT4","Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily"
"Q96QT4"," Transient receptor (TC 1.A.4) family, LTrpC subfamily, TRPM7 sub-subfamily"
"Q96QU6","Class-I pyridoxal-phosphate-dependent aminotransferase family"
"Q96QU8","Exportin family"
"Q96QV1","HHIP family"
"Q96QV6","Histone H2A family"
"Q96RD6","Pannexin family"
"Q96RD7","Pannexin family"
"Q96RE9","Krueppel C2H2-type zinc-finger protein family"
"Q96RF0","Sorting nexin family"
"Q96RG2","Protein kinase superfamily, CAMK Ser/Thr protein kinase family"
"Q96RI0","G-protein coupled receptor 1 family"
"Q96RI1","Nuclear hormone receptor family, NR1 subfamily"
